"lineRef","stopPointRef","serviceJourneyId","aimedDepartureTime","departureTime","aimedArrivalTime","arrivalTime","dayOfTheWeek","operatingDate","directionRef","sequenceNr"
"SKY:Line:6","NSR:Quay:53898","18004428_185541","2025-01-27T06:27:00.000Z","2025-01-27T06:31:02.000Z","2025-01-27T06:27:00.000Z","2025-01-27T06:30:36.000Z",1,"2025-01-27","1",12
"SKY:Line:16E","NSR:Quay:53898","18005614_185556","2025-01-27T06:30:00.000Z","2025-01-27T06:31:44.000Z","2025-01-27T06:30:00.000Z","2025-01-27T06:31:25.000Z",1,"2025-01-27","1",22
"SKY:Line:5","NSR:Quay:53898","18186361_186818","2025-01-27T06:32:00.000Z","2025-01-27T06:32:49.000Z","2025-01-27T06:32:00.000Z","2025-01-27T06:32:21.000Z",1,"2025-01-27","1",10
"SKY:Line:16E","NSR:Quay:53899","18005676_185556","2025-01-27T06:32:00.000Z","2025-01-27T06:34:34.000Z","2025-01-27T06:32:00.000Z","2025-01-27T06:34:10.000Z",1,"2025-01-27","2",19
"SKY:Line:12","NSR:Quay:53898","18004738_185543","2025-01-27T06:32:00.000Z","2025-01-27T06:36:04.000Z","2025-01-27T06:32:00.000Z","2025-01-27T06:35:43.000Z",1,"2025-01-27","2",17
"SKY:Line:12","NSR:Quay:53899","18004691_185543","2025-01-27T06:34:00.000Z","2025-01-27T06:37:02.000Z","2025-01-27T06:34:00.000Z","2025-01-27T06:36:36.000Z",1,"2025-01-27","1",24
"SKY:Line:16E","NSR:Quay:53898","18005749_185556","2025-01-27T06:35:00.000Z","2025-01-27T06:34:26.000Z","2025-01-27T06:35:00.000Z","2025-01-27T06:33:52.000Z",1,"2025-01-27","1",22
"SKY:Line:5","NSR:Quay:53899","18186463_186818","2025-01-27T06:36:00.000Z","2025-01-27T06:41:24.000Z","2025-01-27T06:36:00.000Z","2025-01-27T06:40:48.000Z",1,"2025-01-27","2",24
"SKY:Line:6","NSR:Quay:53898","18004429_185541","2025-01-27T06:37:00.000Z","2025-01-27T06:42:45.000Z","2025-01-27T06:37:00.000Z","2025-01-27T06:42:15.000Z",1,"2025-01-27","1",12
"SKY:Line:6","NSR:Quay:53899","18004525_185541","2025-01-27T06:39:00.000Z","2025-01-27T06:42:11.000Z","2025-01-27T06:39:00.000Z","2025-01-27T06:41:54.000Z",1,"2025-01-27","2",19
"SKY:Line:16E","NSR:Quay:53898","18005615_185556","2025-01-27T06:40:00.000Z","2025-01-27T06:39:22.000Z","2025-01-27T06:40:00.000Z","2025-01-27T06:38:49.000Z",1,"2025-01-27","1",22
"SKY:Line:5","NSR:Quay:53898","18186362_186818","2025-01-27T06:42:00.000Z","2025-01-27T06:45:07.000Z","2025-01-27T06:42:00.000Z","2025-01-27T06:44:49.000Z",1,"2025-01-27","1",10
"SKY:Line:16E","NSR:Quay:53899","18005677_185556","2025-01-27T06:42:00.000Z","2025-01-27T06:42:58.000Z","2025-01-27T06:42:00.000Z","2025-01-27T06:42:25.000Z",1,"2025-01-27","2",19
